着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付
9,2,4,"
ハッピーエム
",牝5,55,"
三浦皇成
",1:37.9,1/2,"

**

",7-6,37.2,13.8,6,436(-2),"

","

","
","
[西]
松下武士
","
三宅勝俊
",,201605020512
10,8,15,"
クリッパールート
",牝4,52,"
菊沢一樹
",1:38.2,2,"

**

",14-14,36.5,71.2,13,460(-8),"

","

","
","
[東]
萩原清
","
Ｇ１レーシング
",,201605020512
11,7,13,"
ナンゴクロマンス
",牝4,55,"
大野拓弥
",1:38.5,1.3/4,"

**

",12-11,37.3,14.8,7,460(+2),"

","

","
","
[東]
佐藤吉勝
","
平本敏夫
",,201605020512
12,4,7,"
ザマンダ
",牝5,55,"
田辺裕信
",1:39.2,4,"

**

",1-1,39,17.1,9,498(-10),"

","

","
","
[西]
角居勝彦
","
Ｈ．Ｈ．シェイク・モハメド
",,201605020512
13,1,2,"
ゲットクローサー
",牝4,55,"
ベリー
",1:39.7,3,"

**

",9-10,38.6,29.2,11,498(-6),"

","

","



","
[西]
吉田直弘
","
サンデーレーシング
",,201605020512
14,8,16,"
フィエルテ
",牝4,55,"
江田照男
",1:39.7,クビ,"

**

",14-14,38,228.6,16,468(-4),"

","

","



","
[西]
鈴木孝志
","
ノースヒルズ
",,201605020512
15,7,14,"
スラリーアイス
",牝4,52,"
野中悠太
",1:40.1,2.1/2,"

**

",9-11,38.9,121.2,14,470(+4),"

","

","
","
[東]
小桧山悟
","
川島吉男
",,201605020512
16,4,8,"
ノーフェイト
",牝4,55,"
蛯名正義
",1:40.1,ハナ,"

**

",7-6,39.4,139.3,15,454(-10),"

","

","
","
[東]
栗田徹
","
高樽さゆり
",,201605020512
1,5,8,"
アポロケンタッキー
",牡4,57,"
戸崎圭太
",2:10.4,,"

**

",10-9-6-4,38.3,1.9,1,560(-4),"

","

","
","
[西]
山内研二
","
アポロサラブレッドクラブ
",2235.7,201605020610
2,2,2,"
キープインタッチ
",牡6,54,"
吉田豊
",2:10.6,1.1/4,"

**

",14-13-12-11,37.7,58.4,10,506(-6),"

","

","



","
[東]
古賀慎明
","
村野康司
",890.2,201605020610
3,4,7,"
ナリタハリケーン
",牡7,53,"
丸山元気
",2:10.6,クビ,"

**

",12-13-14-13,37.4,138.7,14,484(-10),"

","

","
","
[西]
中尾秀正
","
オースミ
",555.1,201605020610
4,5,9,"
ドコフクカゼ
",牡6,57,"
Ｍ．デム
",2:10.6,アタマ,"

**

",7-6-1-1,39,3.4,2,516(-2),"

","

","
","
[西]
友道康夫
","
國分純
",330,201605020610
5,3,4,"
モルトベーネ
",牡4,53,"
蛯名正義
",2:10.9,1.1/2,"

**

",7-8-8-9,38.2,27.9,6,462(-6),"

","

","
","
[西]
松永昌博
","
三宅正義
",220,201605020610
6,1,1,"
マイネルバウンス
",牡7,54,"
柴田大知
",2:11.3,2.1/2,"

**

",7-9-11-9,38.6,157,15,490(-8),"

","

","
","
[東]
伊藤大士
","
サラブレッドクラブ・ラフィアン
",,201605020610
7,3,5,"
ブライトエンブレム
",牡4,57,"
ルメール
",2:11.8,3,"

**

",13-12-12-11,38.9,11.6,4,490(-6),"

","

","



","
[東]
小島茂之
","
シルクレーシング
",,201605020610
8,8,14,"
ジェベルムーサ
",牡6,57.5,"
ボウマン
",2:12.2,2.1/2,"

**

",3-4-3-2,40.6,10.8,3,560(-2),"

","

","
","
[東]
大竹正博
","
キャロットファーム
",,201605020610
9,7,12,"
ナリタポセイドン
",牡7,53,"
武士沢友
",2:12.3,1/2,"

**

",15-15-15-15,38.8,31.8,8,496(+4),"

","

","



","
[西]
南井克巳
","
オースミ
",,201605020610
10,8,15,"
トウシンイーグル
",セ8,55,"
江田照男
",2:12.7,2.1/2,"

**

",3-3-6-6,40.1,79.9,11,480(-2),"

","

","
","
[西]
山内研二
","
サトー
",,201605020610
11,7,13,"
サージェントバッジ
",牡4,55,"
内田博幸
",2:13.0,1.3/4,"

**

",11-11-8-6,40.5,14.3,5,492(-8),"

","

","



","
[西]
須貝尚介
","
大塚亮一
",,201605020610
12,4,6,"
イースターパレード
",セ7,55,"
松岡正海
",2:13.7,4,"

**

",6-6-3-3,41.8,28.7,7,510(-8),"

","

","
","
[西]
平田修
","
Ｇ１レーシング
",,201605020610
13,6,10,"
キングノヨアケ
",牡4,54,"
田辺裕信
",2:14.7,6,"

**

",1-1-2-5,42.4,36.3,9,486(-12),"

","

","
","
[東]
相沢郁
","
平口信行
",,201605020610
14,6,11,"
トウショウフリーク
",牡9,56,"
池添謙一
",2:15.5,5,"

**

",2-2-3-6,42.9,101.2,12,500(+2),"

","

","
","
[西]
今野貞一
","
トウショウ産業
",,201605020610
15,2,3,"
ステラウインド
",牡7,56,"
三浦皇成
",2:17.1,10,"

**

",5-5-8-13,44,109.7,13,478(-6),"

","

","



","
[東]
尾関知人
","
前田幸治
",,201605020610
1,2,4,"
メジャーエンブレム
",牝3,55,"
ルメール
",1:32.8,,"

**

",1-1,35.1,2.3,1,496(-6),"

","

","
","
[東]
田村康仁
","
サンデーレーシング
",9886.4,201605020611
2,3,5,"
ロードクエスト
",牡3,57,"
池添謙一
",1:32.9,3/4,"

**

",16-16,33.8,6.4,2,446(-6),"

","

","



","
[東]
小島茂之
","
ロードホースクラブ
",3910.4,201605020611
3,8,18,"
レインボーライン
",牡3,57,"
福永祐一
",1:32.9,クビ,"

**

",9-9,34.4,40.7,12,430(-2),"

","

","
","
[西]
浅見秀一
","
三田昌宏
",2455.2,201605020611
4,5,10,"
ダンツプリウス
",牡3,57,"
丸山元気
",1:33.1,1.1/4,"

**

",6-6,34.9,21.2,7,494(-4),"

","

","
","
[西]
山内研二
","
山元哲二
",1400,201605020611
5,4,7,"
トウショウドラフタ
",牡3,57,"
田辺裕信
",1:33.1,アタマ,"

**

",14-13,34.2,10,5,460(-4),"

","

","



","
[東]
萱野浩二
","
トウショウ産業
",950,201605020611
6,6,12,"
ハクサンルドルフ
",牡3,57,"
内田博幸
",1:33.1,アタマ,"

**

",16-16,33.9,37.3,11,452(0),"

","

","
","
[西]
西園正都
","
河崎五市
",,201605020611
6,8,17,"
ブランボヌール
",牝3,55,"
三浦皇成
",1:33.1,同着,"

**

",3-3,35.1,133,15,418(-4),"

","

","
","
[西]
中竹和也
","
前田葉子
",,201605020611
8,7,14,"
ブレイブスマッシュ
",牡3,57,"
横山典弘
",1:33.1,ハナ,"

**

",13-13,34.3,29.6,9,478(+2),"

","

","
","
[東]
小笠倫弘
","
島川隆哉
",,201605020611
9,7,15,"
ストーミーシー
",牡3,57,"
江田照男
",1:33.3,1.1/4,"

**

",11-12,34.7,32.3,10,524(+4),"

","

","
","
[東]
斎藤誠
","
ミルファーム
",,201605020611
10,5,9,"
シャドウアプローチ
",牡3,57,"
ベリー
",1:33.3,ハナ,"

**

",9-9,34.8,53.8,13,488(-6),"

","

","
","
[西]
須貝尚介
","
飯塚知一
",,201605020611
11,4,8,"
イモータル
",牡3,57,"
戸崎圭太
",1:33.4,クビ,"

**

",6-6,35.3,7.6,3,516(-4),"

","

","
","
[西]
須貝尚介
","
金子真人ホールディングス
",,201605020611
12,1,1,"
シュウジ
",牡3,57,"
岩田康誠
",1:33.4,アタマ,"

**

",3-3,35.4,27.8,8,494(0),"

","

","
","
[西]
須貝尚介
","
安原浩司
",,201605020611
13,1,2,"
エクラミレネール
",牝3,55,"
大野拓弥
",1:33.4,クビ,"

**

",6-6,35.2,138.2,16,432(-4),"

","

","
","
[東]
高橋裕
","
岡田牧雄
",,201605020611
14,8,16,"
カネノイロ
",牡3,57,"
蛯名正義
",1:33.5,クビ,"

**

",14-13,34.6,234.1,17,448(-2),"

","

","
","
[東]
佐藤吉勝
","
江川伸夫
",,201605020611
15,6,11,"
ペルソナリテ
",牝3,55,"
柴田大知
",1:33.6,3/4,"

**

",18-18,34,259.2,18,404(+4),"

","

","



","
[東]
相沢郁
","
サラブレッドクラブ・ラフィアン
",,201605020611
16,2,3,"
アーバンキッド
",牡3,57,"
ボウマン
",1:33.7,1/2,"

**

",3-3,35.8,11.3,6,466(0),"

","

","
","
[東]
斎藤誠
","
サンデーレーシング
",,201605020611
17,3,6,"
ティソーナ
",牡3,57,"
Ｍ．デム
",1:33.8,クビ,"

**

",11-9,35.3,9.8,4,488(0),"

","

","



","
[東]
藤沢和雄
","
キャロットファーム
",,201605020611
18,7,13,"
シゲルノコギリザメ
",牡3,57,"
松岡正海
",1:35.4,10,"

**

",2-2,37.6,89.7,14,476(-4),"

","

","
","
[西]
谷潔
","
森中蕃
",,201605020611
1,7,14,"
ナンヨーマーク
",牡5,57,"
岩田康誠
",1:24.2,,"

**

",1-2,37.3,60.3,12,518(-12),"

","

","
","
[西]
松田国英
","
中村徳也
",1544.8,201605020612
2,6,12,"
コロマンデル
",牡4,57,"
福永祐一
",1:24.2,ハナ,"

**

",5-5,36.8,8,5,450(+4),"

","

","
","
[西]
安田隆行
","
吉田勝己
",612.8,201605020612
3,1,2,"
アナザーバージョン
",セ5,57,"
ルメール
",1:24.2,アタマ,"

**

",4-3,36.9,3.6,1,484(-2),"

","

","



","
[東]
久保田貴
","
サンデーレーシング
",386.4,201605020612
4,6,11,"
クワドループル
",牡4,57,"
蛯名正義
",1:24.2,クビ,"

**

",7-6,36.6,10.6,6,484(-2),"

","

","
","
[東]
小島太
","
Ｈ．Ｈ．シェイク・モハメド
",230,201605020612
5,2,4,"
ウェイトアンドシー
",セ5,57,"
大野拓弥
",1:24.3,クビ,"

**

",2-1,37.4,5.6,3,494(-2),"

","

","
","
[東]
新開幸一
","
岡田牧雄
",150,201605020612
6,2,3,"
ドナリサ
",牝8,55,"
武士沢友
",1:24.8,3,"

**

",11-10,36.8,65.5,13,480(0),"

","

","



","
[東]
高木登
","
山田貢一
",,201605020612
7,3,5,"
ワイルドダラー
",牡5,57,"
ベリー
",1:24.9,クビ,"

**

",8-8,37.2,29.5,8,494(-18),"

","

","
","
[東]
和田雄二
","
ＨｉｍＲｏｃｋＲａｃｉｎｇ
",,201605020612
8,7,13,"
プエルト
",牡4,57,"
池添謙一
",1:25.1,1.1/4,"

**

",5-6,37.6,12.4,7,542(+8),"

","

","



","
[東]
大竹正博
","
池谷誠一
",,201605020612
9,4,7,"
プリサイスエース
",牡5,57,"
田辺裕信
",1:25.1,クビ,"

**

",14-14,36.9,6.3,4,504(-2),"

","

","



","
[東]
奥村武
","
井山登
",,201605020612
10,8,15,"
ウサギノカケアシ
",牡4,57,"
江田照男
",1:25.2,1/2,"

**

",15-15,36.7,46.8,11,474(+2),"

","

","



","
[東]
星野忍
","
桐谷茂
",,201605020612
11,4,8,"
ベルプラージュ
",牝5,55,"
吉田豊
",1:25.4,1.1/4,"

**

",15-15,36.9,86.3,14,454(-4),"

","

","



","
[東]
尾形充弘
","
キャロットファーム
",,201605020612
12,3,6,"
クローチェ
",セ7,57,"
戸崎圭太
",1:25.4,ハナ,"

**

",9-9,37.5,31.3,9,522(+4),"

","

","
","
[西]
池添学
","
キャロットファーム
",,201605020612
13,5,10,"
オニノシタブル
",牡5,57,"
内田博幸
",1:25.8,2.1/2,"

**

",11-10,37.8,5.5,2,468(-10),"

","

","



","
[東]
矢野英一
","
青山洋一
",,201605020612
14,5,9,"
サンタナブルー
",牡4,57,"
柴田大知
",1:25.9,1/2,"

**

",9-13,37.8,126.9,15,466(+4),"

","

","
","
[東]
和田雄二
","
ブルーマネジメント
",,201605020612
15,8,16,"
デルマアラレチャン
",牝5,55,"
菊沢一樹
",1:26.7,5,"

**

",3-3,39.5,245.3,16,464(-10),"

","

","
","
[東]
菊沢隆徳
","
浅沼廣幸
",,201605020612
16,1,1,"
マコトカンパネッロ
",牝4,55,"
松岡正海
",1:27.6,5,"

**

",11-10,39.6,46.7,10,446(0),"

","

","



","
[東]
岩戸孝樹
","
ディアマント
",,201605020612
1,8,9,"
プレミオテーラー
",牝4,55,"
川田将雅
",1:34.7,,"

**

",1-1,33.2,3.6,1,474(0),"

","

","
","
[西]
河内洋
","
中西浩一
",1524.5,201605020710
2,2,2,"
サトノスティング
",牡5,57,"
田辺裕信
",1:35.0,1.3/4,"

**

",2-2,33.4,5.2,3,458(-4),"

","

","
","
[東]
的場均
","
里見治
",607,201605020710
3,7,8,"
フジマサエンペラー
",牡7,57,"
横山典弘
",1:35.0,ハナ,"

**

",10-9,32.7,9,6,500(-8),"

","

","



","
[東]
菊川正達
","
藤原正一
",383.5,201605020710
4,6,6,"
シングンジョーカー
",牡5,57,"
武士沢友
",1:35.1,1/2,"

**

",2-2,33.4,10.4,7,472(-2),"

","

","
","
[東]
高市圭二
","
伊坂重憲
",230,201605020710
5,7,7,"
セイントバローズ
",牡4,57,"
ベリー
",1:35.1,クビ,"

**

",7-5,33,39.6,8,478(-10),"

","

","



","
[西]
藤岡健一
","
猪熊広次
",150,201605020710
6,4,4,"
ナガラフラワー
",牝4,55,"
藤岡佑介
",1:35.2,3/4,"

**

",5-5,33.2,6.1,4,474(+6),"

","

","
","
[西]
高橋亮
","
長良レーシングクラブ
",,201605020710
7,1,1,"
サーストンコラルド
",牡5,57,"
福永祐一
",1:35.2,ハナ,"

**

",4-4,33.4,4.1,2,470(0),"

","

","
","
[東]
戸田博文
","
齊藤宣勝
",,201605020710
7,3,3,"
サトノフェラーリ
",牡5,57,"
ルメール
",1:35.2,同着,"

**

",7-8,33,7.9,5,472(0),"

","

","



","
[東]
藤沢和雄
","
里見治
",,201605020710
9,8,10,"
ニシノオタケビ
",牡4,57,"
内田博幸
",1:35.7,3,"

**

",9-9,33.4,59.4,9,480(0),"

","

","
","
[東]
小桧山悟
","
西山茂行
",,201605020710
10,5,5,"
クリノダイスーシー
",牡4,57,"
柴山雄一
",1:36.4,4,"

**

",5-5,34.3,206.5,10,506(+8),"

","

","



","
[西]
作田誠二
","
栗本博晴
",,201605020710
1,5,10,"
サトノアラジン
",牡5,56,"
川田将雅
",1:19.6,,"

**

",12-12,32.4,4.5,3,526(-8),"

","

","



","
[西]
池江泰寿
","
里見治
",6014.8,201605020711
2,7,13,"
サンライズメジャー
",牡7,56,"
戸崎圭太
",1:19.8,1.1/2,"

**

",15-16,32.4,19.9,7,480(-8),"

","

","



","
[西]
浜田多実
","
松岡隆雄
",2432.8,201605020711
3,1,1,"
ロサギガンティア
",牡5,57,"
Ｍ．デム
",1:19.8,クビ,"

**

",6-6,33.1,4.3,2,530(+2),"

","

","
","
[東]
藤沢和雄
","
社台レースホース
",1516.4,201605020711
4,8,16,"
ダッシングブレイズ
",牡4,56,"
浜中俊
",1:20.0,1.1/4,"

**

",10-9,32.9,9.2,4,492(-2),"

","

","



","
[西]
吉村圭司
","
グリーンフィールズ
",890,201605020711
5,7,14,"
アイライン
",牝4,54,"
吉田豊
",1:20.0,クビ,"

**

",15-13,32.7,44.7,11,444(-4),"

","

","
","
[東]
高橋裕
","
アラキファーム
",590,201605020711
6,3,6,"
オメガヴェンデッタ
",セ5,56,"
武豊
",1:20.0,ハナ,"

**

",3-3,33.6,9.3,5,498(-4),"

","

","
","
[西]
安田隆行
","
原禮子
",,201605020711
7,5,9,"
エイシンスパルタン
",牡5,56,"
藤岡佑介
",1:20.1,1/2,"

**

",2-2,33.8,3.3,1,496(0),"

","

","
","
[西]
藤岡健一
","
栄進堂
",,201605020711
8,4,7,"
サクラゴスペル
",牡8,57,"
ボウマン
",1:20.2,クビ,"

**

",1-1,34.1,31.1,9,494(+4),"

","

","
","
[東]
尾関知人
","
さくらコマース
",,201605020711
9,1,2,"
ヴェルステルキング
",牡4,56,"
福永祐一
",1:20.2,クビ,"

**

",6-6,33.5,24.8,8,488(-6),"

","

","
","
[西]
友道康夫
","
佐々木主浩
",,201605020711
10,6,11,"
ブラヴィッシモ
",牡4,56,"
内田博幸
",1:20.3,1/2,"

**

",3-3,33.9,19,6,496(-8),"

","

","
","
[西]
須貝尚介
","
金子真人ホールディングス
",,201605020711
11,2,4,"
サザナミ
",牝4,54,"
ベリー
",1:20.5,1.1/2,"

**

",9-8,33.6,89,15,406(-2),"

","

","
","
[東]
堀宣行
","
グリーンファーム
",,201605020711
12,2,3,"
ヒルノデイバロー
",牡5,56,"
太宰啓介
",1:20.5,クビ,"

**

",10-9,33.5,46.8,12,510(-4),"

","

","
","
[西]
昆貢
","
ヒルノ
",,201605020711
13,4,8,"
クラリティスカイ
",牡4,57,"
三浦皇成
",1:20.7,1,"

**

",5-5,34.2,43.3,10,496(+6),"

","

","
","
[西]
友道康夫
","
杉山忠国
",,201605020711
14,3,5,"
ダンスアミーガ
",牝5,54,"
ルメール
",1:21.0,1.3/4,"

**

",8-9,33.9,82,14,480(+4),"

","

","
","
[西]
中竹和也
","
社台レースホース
",,201605020711
15,8,15,"
ダイワリベラル
",牡5,56,"
横山典弘
",1:22.0,6,"

**

",14-13,34.7,56.4,13,518(-14),"

","

","



","
[東]
菊沢隆徳
","
大城敬三
",,201605020711
16,6,12,"
エポワス
",セ8,56,"
柴田善臣
",1:22.0,アタマ,"

**

",12-13,34.7,240.9,16,480(-4),"

","

","
","
[東]
藤沢和雄
","
多田信尊
",,201605020711
1,8,15,"
ディアデルレイ
",牡5,57,"
戸崎圭太
",1:36.3,,"

**

",3-2,35.6,6.6,2,500(-10),"

","

","
","
[東]
牧光二
","
キャロットファーム
",1050,201605020712
2,7,14,"
ダイワインパルス
",牡4,57,"
田中勝春
",1:36.7,2.1/2,"

**

",10-7,35.6,14.3,8,482(+2),"

","

","
","
[東]
宗像義忠
","
大城敬三
",420,201605020712
3,3,5,"
オールマンリバー
",牡4,57,"
武豊
",1:36.8,1/2,"

**

",9-7,35.7,2.9,1,500(0),"

","

","



","
[西]
五十嵐忠
","
三田昌宏
",260,201605020712
4,5,10,"
クロフネビームス
",牝4,55,"
吉田豊
",1:36.8,クビ,"

**

",5-4,35.9,11.2,6,474(0),"

","

","
","
[東]
尾形充弘
","
古川嘉治
",160,201605020712
5,5,9,"
パイロキネシスト
",牡4,57,"
内田博幸
",1:36.9,1/2,"

**

",2-2,36.2,12.3,7,482(-2),"

","

","
","
[東]
藤原辰雄
","
平井裕
",105,201605020712
6,4,7,"
トーセンラムセス
",牡4,57,"
菅原隆一
",1:36.9,アタマ,"

**

",3-4,36,39.6,11,504(-2),"

","

","
","
[東]
奥平雅士
","
島川隆哉
",,201605020712
7,6,12,"
ディアコンチェルト
",牡4,57,"
大野拓弥
",1:36.9,アタマ,"

**

",10-10,35.6,6.9,3,456(0),"

","

","



","
[東]
高木登
","
ディアレストクラブ
",,201605020712
8,2,4,"
ムードティアラ
",牝6,55,"
田辺裕信
",1:37.0,クビ,"

**

",12-12,35.5,24.7,9,482(0),"

","

","
","
[東]
上原博之
","
ターフ・スポート
",,201605020712
9,4,8,"
ビッグギグ
",牡5,54,"
菊沢一樹
",1:37.2,1.1/4,"

**

",7-7,36.1,8.9,5,514(-10),"

","

","



","
[東]
菊沢隆徳
","
吉田照哉
",,201605020712
10,7,13,"
グランフィデリオ
",牡5,57,"
福永祐一
",1:37.4,1.1/4,"

**

",7-4,36.5,37.6,10,438(-2),"

","

","
","
[西]
森秀行
","
飯田訓大
",,201605020712
11,1,2,"
デルマハンニャ
",牝6,55,"
柴田大知
",1:38.0,3.1/2,"

**

",14-14,36.3,249.7,15,450(0),"

","

","
","
[東]
和田正一
","
浅沼廣幸
",,201605020712
12,2,3,"
エンクエントロス
",牡4,57,"
柴山雄一
",1:38.1,クビ,"

**

",13-12,36.6,172.1,13,498(0),"

","

","



","
[東]
黒岩陽一
","
スリースターズレーシング
",,201605020712
13,6,11,"
ナスカザン
",牝4,55,"
藤岡佑介
",1:38.2,1/2,"

**

",14-15,36.3,200.6,14,480(+14),"

","

","



","
[東]
鈴木伸尋
","
小山田満
",,201605020712
14,1,1,"
ジェイケイライアン
",牡4,57,"
武士沢友
",1:38.2,クビ,"

**

",16-15,36.3,67.4,12,478(-2),"

","

","
","
[東]
菅原泰夫
","
小谷野次郎
",,201605020712
15,3,6,"
シャドウチェイサー
",セ4,57,"
ルメール
",1:38.8,3.1/2,"

**

",1-1,38.2,7,4,476(-2),"

","

","
","
[東]
藤沢和雄
","
飯塚知一
",,201605020712
16,8,16,"
ルージュロワイヤル
",牝4,55,"
嘉藤貴行
",1:39.9,7,"

**

",5-10,38.5,383.1,16,476(0),"

","

","
","
[東]
清水英克
","
ユートピア牧場
",,201605020712
1,8,12,"
グレンツェント
",牡3,56,"
ルメール
",1:36.9,,"

**

",3-3,35.7,4.2,2,466(-4),"

","

","
","
[東]
加藤征弘
","
シルクレーシング
",1827.3,201605020810
2,6,8,"
アルーアキャロル
",牡3,56,"
大野拓弥
",1:36.9,ハナ,"

**

",6-6,35.2,1.8,1,502(-4),"

","

","



","
[東]
新開幸一
","
シルクレーシング
",727.8,201605020810
3,8,11,"
キョウエイギア
",牡3,56,"
中谷雄太
",1:37.3,2.1/2,"

**

",2-2,36.3,22,6,478(+2),"

","

","
","
[西]
矢作芳人
","
田中晴夫
",453.9,201605020810
4,5,5,"
ダノンフェイス
",牡3,57,"
岩田康誠
",1:37.3,クビ,"

**

",6-6,35.6,5.5,3,528(+8),"

","

","
","
[西]
大久保龍
","
ダノックス
",270,201605020810
5,7,10,"
ヴェゼール
",牡3,56,"
武豊
",1:37.5,1.1/4,"

**

",5-4,36.1,24.3,7,532(-2),"

","

","
","
[西]
河内洋
","
畑佐博
",180,201605020810
6,1,1,"
タイニーダンサー
",牝3,55,"
福永祐一
",1:37.8,2,"

**

",10-8,35.9,45.6,9,482(-4),"

","

","
","
[東]
伊藤圭三
","
グランド牧場
",,201605020810
7,2,2,"
ツーエムレジェンド
",牡3,56,"
池添謙一
",1:38.1,1.3/4,"

**

",8-8,36.2,45.5,8,452(-6),"

","

","
","
[西]
池添兼雄
","
水谷昌晃
",,201605020810
7,5,6,"
スズカミラージュ
",牡3,56,"
Ｍ．デム
",1:38.1,同着,"

**

",8-8,36.2,21.6,5,486(+10),"

","

","
","
[西]
須貝尚介
","
永井啓弍
",,201605020810
9,6,7,"
マイネルビクトリー
",牡3,56,"
柴田大知
",1:38.3,1.1/2,"

**

",12-11,36.1,134.4,11,466(+6),"

","

","



","
[東]
畠山吉宏
","
サラブレッドクラブ・ラフィアン
",,201605020810
10,3,3,"
ビービーサレンダー
",牡3,56,"
伊藤工真
",1:38.8,3,"

**

",11-11,36.7,128,10,474(0),"

","

","



","
[東]
久保田貴
","
坂東牧場
",,201605020810
11,7,9,"
コウエイエンブレム
",牡3,56,"
戸崎圭太
",1:39.5,4,"

**

",3-4,38.2,10.1,4,500(-8),"

","

","
","
[西]
山内研二
","
伊東政清
",,201605020810
12,4,4,"
オーマイガイ
",牡3,56,"
石川裕紀
",1:40.3,5,"

**

",1-1,39.4,215,12,434(-4),"

","

","
","
[西]
河内洋
","
廣崎利洋
",,201605020810
1,7,13,"
ストレイトガール
",牝7,55,"
戸崎圭太
",1:31.5,,"

**

",11-10,33.4,17.7,7,466(+2),"

","

","
","
[西]
藤原英昭
","
廣崎利洋ＨＤ
",9682.2,201605020811
2,5,10,"
ミッキークイーン
",牝4,55,"
浜中俊
",1:31.9,2.1/2,"

**

",13-12,33.6,3.4,1,432(0),"

","

","
","
[西]
池江泰寿
","
野田みづき
",3809.2,201605020811
3,7,15,"
ショウナンパンドラ
",牝5,55,"
池添謙一
",1:31.9,ハナ,"

**

",13-14,33.5,4.4,2,446(-10),"

","

","



","
[西]
高野友和
","
国本哲秀
",2354.6,201605020811
4,1,2,"
スマートレイアー
",牝6,55,"
武豊
",1:32.1,1.1/4,"

**

",2-3,34.5,7,3,466(0),"

","

","
","
[西]
大久保龍
","
大川徹
",1400,201605020811
5,4,7,"
ルージュバック
",牝4,55,"
ルメール
",1:32.1,ハナ,"

**

",7-8,34.1,8.6,4,458(0),"

","

","
","
[東]
大竹正博
","
キャロットファーム
",930,201605020811
6,3,6,"
マジックタイム
",牝5,55,"
ボウマン
",1:32.1,ハナ,"

**

",7-4,34.3,10.4,6,478(0),"

","

","



","
[東]
中川公成
","
サンデーレーシング
",,201605020811
7,7,14,"
ウキヨノカゼ
",牝6,55,"
四位洋文
",1:32.3,1.1/4,"

**

",18-18,33.4,92.5,15,484(-6),"

","

","



","
[東]
菊沢隆徳
","
國分純
",,201605020811
8,6,12,"
クイーンズリング
",牝4,55,"
Ｍ．デム
",1:32.5,1.1/2,"

**

",11-12,34.2,10.1,5,460(+10),"

","

","
","
[西]
吉村圭司
","
吉田千津
",,201605020811
9,8,16,"
シュンドルボン
",牝5,55,"
吉田豊
",1:32.7,1.1/4,"

**

",15-15,34.1,40.3,12,504(+2),"

","

","



","
[東]
矢野英一
","
下河辺牧場
",,201605020811
10,6,11,"
レッツゴードンキ
",牝4,55,"
岩田康誠
",1:32.9,1,"

**

",9-10,34.8,23.5,8,476(-6),"

","

","
","
[西]
梅田智之
","
廣崎利洋ＨＤ
",,201605020811
11,1,1,"
ウインプリメーラ
",牝6,55,"
川田将雅
",1:32.9,クビ,"

**

",5-4,35.1,34.1,10,456(-2),"

","

","
","
[西]
大久保龍
","
ウイン
",,201605020811
12,4,8,"
メイショウマンボ
",牝6,55,"
武幸四郎
",1:33.2,2,"

**

",15-15,34.6,117.8,17,494(-4),"

","

","
","
[西]
飯田祐史
","
松本好雄
",,201605020811
13,2,4,"
ウリウリ
",牝6,55,"
三浦皇成
",1:33.3,クビ,"

**

",9-8,35.3,52.2,13,464(-4),"

","

","
","
[西]
藤原英昭
","
金子真人ホールディングス
",,201605020811
14,3,5,"
レッドリヴェール
",牝5,55,"
石川裕紀
",1:33.5,1.1/4,"

**

",1-2,36,122.7,18,438(-6),"

","

","
","
[西]
須貝尚介
","
東京ホースレーシング
",,201605020811
15,5,9,"
カフェブリリアント
",牝6,55,"
福永祐一
",1:34.2,4,"

**

",3-1,37,71.1,14,434(0),"

","

","
","
[東]
堀宣行
","
西川光一
",,201605020811
16,8,18,"
ショウナンアデラ
",牝4,55,"
蛯名正義
",1:34.3,1/2,"

**

",17-15,35.6,35.4,11,484(+16),"

","

","
","
[東]
二ノ宮敬
","
国本哲秀
",,201605020811
17,8,17,"
トーセンビクトリー
",牝4,55,"
内田博幸
",1:34.3,クビ,"

**

",5-7,36.4,114.7,16,446(-2),"

","

","
","
[西]
角居勝彦
","
島川隆哉
",,201605020811
18,2,3,"
シャルール
",牝4,55,"
横山典弘
",1:34.8,3,"

**

",3-4,37,30.5,9,454(0),"

","

","
","
[西]
松永幹夫
","
キャロットファーム
",,201605020811
1,6,11,"
ソルティコメント
",牡4,55,"
戸崎圭太
",1:36.9,,"

**

",5-5,35.5,2.3,1,458(0),"

","

","
","
[東]
藤沢和雄
","
窪田康志
",1855.7,201605020812
2,8,15,"
ブラゾンドゥリス
",牡4,55,"
内田博幸
",1:37.1,1.1/4,"

**

",5-5,35.8,4.4,2,514(-6),"

","

","
","
[東]
尾形和幸
","
ノルマンディーサラブレッドレーシング
",740.2,201605020812
3,4,6,"
サングラス
",牡5,55,"
二本柳壮
",1:37.3,1.1/4,"

**

",13-13,35,6.3,3,496(0),"

","

","
","
[西]
谷潔
","
玉置潔
",465.1,201605020812
4,1,1,"
ルファルシオン
",牡5,54,"
福永祐一
",1:37.3,アタマ,"

**

",7-7,35.6,32.3,8,496(-14),"

","

","
","
[西]
松田国英
","
グリーンファーム
",270,201605020812
5,5,9,"
コアレスキング
",牡6,54,"
大野拓弥
",1:37.5,1.1/4,"

**

",9-7,35.8,114.2,14,540(-16),"

","

","
","
[東]
尾形充弘
","
小林昌志
",182,201605020812
